Station,Sample,Filter,Photo,Type,Type2,Colour,Colour2,Colour3,Colour4,Col.Type,Length,Width,Area,Perimeter,Perimeter.2,Comments
903,A,7,0,Fragment,,Transparent/blue,,,,,608.48,191.43,104489.44,657.3,,Piece of buffer bottle?
903,A,7,1,Fragment,,Transparent/blue,,,,,868.33,189.09,135662.17,842.3,,Piece of buffer bottle?
903,A,7,2,Fragment,,Transparent/blue,,,,,1110.83,207.62,243155.38,645.26,,Piece of buffer bottle?
903,B,8,0,Fibre,,Transparent,,,,,1661.13,5.71,,,,
903,B,8,1,Fibre,,Blue,,,,,2158.25,20.6,,,,
903,B,8,2,Fibre,,Light purple,,,,,1087.49,12.83,,,,
903,B,8,3,Fibre,,Brown,,,,,673.35,11.43,,,,
903,C,9,0,Fibre,,Brown,,,,,887.05,8.15,,,,
903,C,9,1,Fibre,,Brown,,,,,574.15,10.39,,,,
904,A,10,0,Fibre,,Transparent/blue,,,,,942.1,9.27,,,,
904,B,11,0,Fibre,,Transparent/blue,,,,,1781,12.08,,,,
904,B,11,2,Fibre,,Blue,,,,,433.41,19.1,,,,
904,B,11,4,Fibre,,Blue,,,,,1889.24,16.27,,,,
904,B,11,5,Fibre,,Transparent/blue,,,,,890.95,12.18,,,,
904,B,11,6,Fibre,,Transparent/blue,,,,,2846.56,9.67,,,,
904,C,12,0,Fibre,,Brown/black,,,,,385.18,14.88,,,,
904,C,12,1,Fibre,,Purple,,,,,1182.18,5.26,,,,
904,C,12,2,Fibre,,Brown,,,,,774.53,13.76,,,,
905,A,13,,,,,,,,,,,,,,Nothing found
905,B,14,,,,,,,,,,,,,,Nothing found
905,C,15,,,,,,,,,,,,,,Nothing found
906,A,16,0,Fibre,,Purple,,,,,258.94,20.38,,,,
906,A,16,1,Fibre,,Purple,,,,,397.93,10.55,,,,
906,A,16,2,Fibre,,Purple,,,,,256.01,7.04,,,,Same as St906-A 01
906,A,16,3,Fibre,,Purple/transparent,,,,,1020.68,12.18,,,,
906,A,16,4,Fibre,,Purple,,,,,429.08,10.1,,,,
906,A,16,5,Fibre,,Light blue,,,,,516.33,12.12,,,,
906,A,16,6,Fibre,,Light green,,,,,396.95,31.49,,,,Rope from boat?
906,A,16,7,Fibre,,Purple,,,,,406.76,31.1,,,,
906,B,17,0,Fragment,,Light green,,,,,179.49,115.59,199.79,179.47,,Piece of rope?
906,B,17,1,Fibre,,Black,,,,,809.4,7.14,,,,
906,C,18,0,Fibre,,Black,,,,,2224.38,11.71,,,,
906,C,18,1,Fibre,,Black,,,,,1001.28,5.28,,,,
906,C,18,2,Fibre,,Black,,,,,328.62,25.87,,,,
906,C,18,3,Fibre,,Black/purple,,,,,432.68,4.68,,,,
906,C,18,4,Fibre,,Transparent/blue,,,,,690.81,9.37,,,,
907,A,19,0,Fibre,,Light green,,,,,1540.15,54.47,,,,Rope from the boat?
907,A,19,0,Fibre,,Light green,,,,,1071.07,68.42,,,,Rope from the boat?
