Station;Sample;Filter;Photo;Type;Colour;Colour2;Colour3;Colour4;Colour Type;Length;Width;Area;Perimeter;Perimeter-2;Comments
St 919 B;St 919 B;71;2;Fibre;faint blue green/transparent;;;;;550.18;11.91;NA;NA;NA;often in samples/not plastic?/contamination?
St 919 B;St 919 B;71;3;Fragment;transparent/blueish;;;;;691.11;129.78;114407.06;1782.34;NA;piece of rope??
St 919 B;St 919 B;71;4;Fragment;faint blue;;;;;780.03;501.19;260712.88;2272.93;NA;often in samples/not plastic?/contamination?
St 919 B;St 919 B;71;5;Fibre;black;;;;;927.57;20.38;NA;NA;NA;rubber?
St 919 B;St 919 B;71;6;Fragment;faint blue;;;;;151.86;124.62;17495.78;526.93;NA;often in samples/not plastic?/contamination?
St 919 C;St 919 C;72;NA;Fibre;blue/purple;;;;;818.12;13.8;NA;NA;NA;NA
St 919 C;St 919 C;72;NA;Fibre;transparent blue;;;;;921.9;13.92;NA;NA;NA;often in samples/not plastic?/contamination?
St 919 C;St 919 C;72;1;Fibre;white;;;;;4127.52;48.87;NA;NA;NA;bone?
St 919 Blank (sea);St 919 Blank (sea);63;1;Fibre;Red;;;;;400.25;8.46;NA;NA;NA;NA
St 919 Blank (sea);St 919 Blank (sea);63;2;Fibre;transparent;;;;;1813.05;6.46;NA;NA;NA;NA
St 919 Blank (sea);St 919 Blank (sea);63;3;Fibre;black;;;;;246.53;6.43;NA;NA;NA;NA
St 919 Blank (sea);St 919 Blank (sea);63;4;Fibre;black;;;;;1887.75;11.96;NA;NA;NA;NA
St 919 Blank (sea);St 919 Blank (sea);63;5;Fibre;black;;;;;1035.18;12.92;NA;NA;NA;NA
St 919 Blank (sea);St 919 Blank (sea);63;7;Fibre;transparent;;;;;2495.89;18.44;NA;NA;NA;NA
St 919 Blank (sea);St 919 Blank (sea);63;8;Fibre;transparent;;;;;1257.52;15.33;NA;NA;NA;NA
St 920 A;St 920 A;73;NA;NA;NA;;;;;NA;NA;NA;NA;NA;nothing
St 920 B;St 920 B;74;NA;NA;NA;;;;;NA;NA;NA;NA;NA;nothing
St 920 C;St 920 C;75;NA;Fibre;black;;;;;2435.77;9.91;NA;NA;NA;NA
St 920 C;St 920 C;75;1;Fibre;transparent/grey;;;;;1992.67;17.01;NA;NA;NA;natural?
St 920 Blank (sea);St 920 Blank (sea);64;NA;Fibre;trasparent;;;;;915.69;15.46;NA;NA;NA;NA
St 920 Blank (sea);St 920 Blank (sea);64;1;Fibre;black;;;;;2071.61;13.08;NA;NA;NA;NA
St 918-920 Blank;St 918-920 Blank;66;2;Fibre;black;;;;;143.26;18;NA;NA;NA;NA
St 921 A;St 921 A;76;NA;Fibre;black;;;;;729.94;36.96;NA;NA;NA;rubber?
St 921 A;St 921 A;76;1;Fibre;black;;;;;186.78;7.33;NA;NA;NA;natural?
St 921 B;St 921 B;77;1;Fibre;faint blue;;;;;3079.43;56.61;NA;NA;NA;piece of rope??
St 921 B;St 921 B;77;2;Fibre;faint blue;;;;;364.44;75.89;NA;NA;NA;piece of rope??
St 921 B;St 921 B;77;3;Fibre;faint blue;;;;;445.69;39.82;NA;NA;NA;piece of rope??
St 921 C;St 921 C;78;NA;Fibre;grey/transparent;;;;;1450.71;13.75;NA;NA;NA;NA
St 921 C;St 921 C;78;1;Fibre;faint blue;;;;;2820.29;23.98;NA;NA;NA;piece of rope??
St 921 Blank (sea);St 921 Blank (sea);65;NA;Fibre;transparent;;;;;2302.67;19.27;NA;NA;NA;NA
St 922 A;St 922 A;79;1;Fibre;black;;;;;331;15.17;NA;NA;NA;NA
St 922 A;St 922 A;79;2;Fibre;faint blue;;;;;393.44;36.66;NA;NA;NA;piece of rope??
St 922 A;St 922 A;79;4;Fragment;blue;;;;;287.3;158.54;46121.39;928.22;NA;often in samples/not plastic?/contamination?
St 922 A;St 922 A;79;6;Fragment;blue;;;;;418.77;174.98;57254.96;1043.56;NA;often in samples/not plastic?/contamination?
St 922 A;St 922 A;79;8;Fibre;grey/transparent;;;;;2325.67;18.65;NA;NA;NA;NA
St 922 B;St 922 B;80;NA;Fragment;blue;;;;;108.74;44.56;5601.56;313.49;NA;often in samples/not plastic?/contamination?
St 922 B;St 922 B;80;1;Fibre;grey/transparent;;;;;1992.85;12.84;NA;NA;NA;natural
St 922 B;St 922 B;80;2;Fibre;black;;;;;1102.57;8.24;NA;NA;NA;NA
St 922 B;St 922 B;80;3;Fragment;dark blue;;;;;323.66;191.44;61344.87;1025.17;NA;NA
St 922 B;St 922 B;80;4;Fibre;brown;;;;;1451.64;12.84;NA;NA;NA;NA
St 922 C;St 922 C;81;NA;Fibre;Black;;;;;1304.69;16.93;NA;NA;NA;NA
St 922 C;St 922 C;81;1;Fibre;Black;;;;;593.54;58.38;NA;NA;NA;rubber
St 922 C;St 922 C;81;1;Paint;Blue;;;;;297.37;158.42;45751.43;912.98;NA;paint from boat?
St 922 C;St 922 C;81;2;Fibre;Grey;;;;;1078.12;18.45;NA;NA;NA;natural?
St 922 C;St 922 C;81;3;Paint;Blue;;;;;226.13;162.72;29248.8;662.75;NA;paint from boat?
St 922 C;St 922 C;81;4;Fibre;Grey;;;;;4411.12;18.61;NA;.;NA;natural?
St 922 C;St 922 C;81;5;Fibre;Blue;;;;;798.01;49.74;NA;NA;NA;piece of rope??
St 922 Blank (sea);St 922 Blank (sea);67;NA;NA;NA;;;;;NA;NA;NA;NA;NA;nothing
St 921-922 Blank;St 921-922 Blank;68;NA;NA;NA;;;;;NA;NA;NA;NA;NA;nothing
