"","Station","Sample","Filter","Photo","Type","Type2","Colour","Colour2","Colour3","Colour4","Col.Type","Length","Width","Area","Perimeter","Perimeter.2","Possible.contamination","Comments","SizeClass"
"275","921","B",77,1,"Fibre",,"blue",,,,"light",3079.43,56.61,,,,,"often observed","large"
"276","921","B",77,2,"Fibre",,"blue",,,,"light",364.44,75.89,,,,,"often observed","large"
"277","921","B",77,3,"Fibre",,"blue",,,,"light",445.69,39.82,,,,,"often observed","large"
"278","921","Blank sea",65,,"Fibre",,"transparent",,,,,2302.67,19.27,,,,,,"large"
"279","921","C",78,1,"Fibre",,"blue",,,,"light",2820.29,23.98,,,,,"often observed","large"
"280","921","C",78,,"Fibre",,"grey",,,,,1450.71,13.75,,,,,,"large"
"281","922","A",79,1,"Fibre",,"black",,,,,331,15.17,,,,,,"medium"
"282","922","A",79,2,"Fibre",,"blue",,,,"light",393.44,36.66,,,,,"often observed","large"
"283","922","A",79,4,"Fragment",,"blue",,,,"light",287.3,158.54,46121.39,"928.22",,,"often in samples/not plastic?/contamination?","medium"
"284","922","A",79,6,"Fragment",,"blue",,,,"light",418.77,174.98,57254.96,"1043.56",,,"often in samples/not plastic?/contamination?","large"
"285","922","A",79,8,"Fibre",,"grey",,,,,2325.67,18.65,,,,,,"large"
"286","922","B",80,2,"Fibre",,"black",,,,,1102.57,8.24,,,,,,"large"
"287","922","B",80,,"Fragment",,"blue",,,,"light",108.74,44.56,5601.56,"313.49",,,"often in samples/not plastic?/contamination?","medium"
"288","922","B",80,3,"Fragment",,"blue",,,,,323.66,191.44,61344.87,"1025.17",,,,"medium"
"289","922","B",80,4,"Fibre",,"brown",,,,,1451.64,12.84,,,,,,"large"
"290","922","B",80,1,"Fibre",,"grey",,,,,1992.85,12.84,,,,,"natural?","large"
"291","922","Blank sea",67,,,,,,,,,,,,,,,"Nothing found",
"292","922","C",81,1,"Fibre",,"black",,,,,593.54,58.38,,,,,,"large"
"293","922","C",81,,"Fibre",,"black",,,,,1304.69,16.93,,,,,,"large"
"294","922","C",81,5,"Fibre",,"blue",,,,,798.01,49.74,,,,"piece of rope?",,"large"
"295","922","C",81,1,"Paint",,"blue",,,,,297.37,158.42,45751.43,"912.98",,"paint from boat?",,"medium"
"296","922","C",81,3,"Paint",,"blue",,,,,226.13,162.72,29248.8,"662.75",,"paint from boat?",,"medium"
"297","922","C",81,2,"Fibre",,"grey",,,,,1078.12,18.45,,,,,"natural?","large"
"298","922","C",81,4,"Fibre",,"grey",,,,,4411.12,18.61,,".",,,"natural?","large"
"299","910","blank",34,,,,,,,,,,,,,,,"nothing found",
"300","911","blank",34,,,,,,,,,,,,,,,"nothing found",
"301","918","Blank",66,2,"Fibre",,"black",,,,,143.26,18,,,,,,"medium"
"302","919","Blank",66,2,"Fibre",,"black",,,,,143.26,18,,,,,,"medium"
"303","920","Blank",66,2,"Fibre",,"black",,,,,143.26,18,,,,,,"medium"
"304","921","Blank",68,,,,,,,,,,,,,,,"Nothing found",
"305","922","Blank",68,,,,,,,,,,,,,,,"Nothing found",
"306",,"Blank",0,0,"Fibre",,"black",,,,,823.15,10.31,,,,,"Blank from the clean bench","large"
