"","Station","Sample","Filter","Photo","Type","Type2","Colour","Colour2","Colour3","Colour4","Col.Type","Length","Width","Area","Perimeter","Perimeter.2","Possible.contamination","Comments","SizeClass"
"66","907","B",20,0,"Fragment",,"green",,,,"light",249.9,54.08,53.01,"54.08",,"piece of glass?",,"medium"
"67","907","C",21,0,"Fragment",,"white",,,,,390,320.14,125635.62,"1536.36",,"Piece of filter?",,"large"
"68","907","C",21,1,"Fragment",,"white",,,,,237.61,183.14,49841.21,"1026.26",,"Piece of filter?",,"medium"
"69","908","A",22,1,"Fibre",,"red",,,,"light",532.03,15.71,,,,,"like 907 A","large"
"70","908","A",22,0,"Fibre",,"transparent","blue",,,"sectioned",995.29,16.53,,,,,"often observed","large"
"71","908","A",22,2,"Fragment",,"white",,,,,1280.33,91.38,104038,"2848.23",,,,"large"
"72","908","B",23,2,"Fibre",,"blue",,,,,2200.91,6.97,,,,,,"large"
"73","908","B",23,2,"Fibre",,"blue",,,,,1513.96,6.97,,,,,,"large"
"74","908","B",23,3,"Fibre",,"blue",,,,,938.94,12.99,,,,,,"large"
"75","908","B",23,1,"Fragment",,"white",,,,,1086.36,90,66170.94,"2251.38",,,"Same as in St908-A 02","large"
"76","908","B",23,4,"Fragment",,"white",,,,,419.08,56.21,35273.76,"1200.09",,,"Same as in St908-A 02","large"
"77","908","C",24,0,"Fibre",,"black",,,,,4980.94,13.84,,,,,,"large"
"78","908","C",24,1,"Fibre",,"red",,,,,2767.09,11.2,,,,,,"large"
"79","908","C",24,2,"Fibre",,"red",,,,,932.26,22.14,,,,,,"large"
"80","909","A",25,5,"Fragment",,"black","transparent",,,"sectioned",335.35,38.94,32427.23,"1096.86",,,"Looks like rubber/often observed","medium"
"81","909","A",25,6,"Fragment",,"black","transparent",,,"sectioned",614.97,64.81,52713.66,"2269.14",,,"Looks like rubber/often observed","large"
"82","909","A",25,0,"Fibre",,"black",,,,,5299.13,14.86,,,,,,"large"
"83","909","A",25,3,"Fibre",,"black",,,,,682.83,9.97,,,,,,"large"
"84","909","A",25,7,"Fibre",,"blue",,,,,1701.44,17.4,,,,,,"large"
"85","909","A",25,1,"Fibre",,"transparent","blue",,,"sectioned",1405.56,17.4,,,,,"often observed","large"
"86","909","A",25,4,"Fibre",,"transparent","blue",,,"sectioned",2004.4,12.46,,,,,"often observed","large"
